Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
ERGA-BGE Genome Report ASM analyses (one-asm HiFi + HiC)	WorkflowHub	1104	https://workflowhub.eu/workflows/1104?version=2	Diego De Panis	genome assembly, genomics, qc	2024-11-04	2026-05-13	2	2	45.0	pairtools_parse, sam_merge2, cooler_cload_tabix, bg_diamond, __EXTRACT_DATASET__, tp_text_file_with_recurring_lines, pairtools_dedup, datasets_download_genome, cooler_csort_tabix, minimap2, lftp, __FLATTEN__, collapse_dataset, genomescope, merqury, hicexplorer_hicmergematrixbins, bwa_mem2, bedtools_makewindowsbed, rseqc_bam_stat, busco, CONVERTER_fasta_to_fai, smudgeplot, meryl, hicexplorer_hicplotmatrix, pairtools_split, fastp, gfastats, Cut1, blobtoolkit, sambamba_flagstat, pick_value, fasterq_dump, cutadapt, sambamba_merge, pairtools_sort	Visualisation, Sequence alignment, k-mer counting, Sequence database search, Primer removal, Genotyping, Sequence contamination filtering, Data parsing, Data deposition, Sequence alignment analysis, Data handling, Genome assembly, Sequencing quality control, De-novo assembly, Scaffolding, Sequence trimming, Sequence assembly validation, Mapping, Phasing, Read pre-processing, Data retrieval, Pairwise sequence alignment	Genomics	MIT		ERGA Assembly	True	False
ERGA HiC Collapsed Scaffolding+QC YaHS v2311 (WF4)	WorkflowHub	702	https://workflowhub.eu/workflows/702?version=1	Diego De Panis	erga, hic, name:assembly+qc	2024-01-09	2026-05-13	1	1	16.0	merqury, param_value_from_file, yahs, busco, gfastats, pretext_map, pretext_snapshot, gfa_to_fa, bwa_mem2, bellerophon	Scaffolding, Sequence assembly validation, Sequence alignment, k-mer counting, Data handling, Genome assembly, De-novo assembly, Phasing	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA ONT+Illumina Collapsed Purge+QC v2311 (WF3)	WorkflowHub	701	https://workflowhub.eu/workflows/701?version=1	Diego De Panis	erga, illumina, name:assembly+qc	2024-01-09	2026-05-13	1	1	14.0	merqury, param_value_from_file, busco, purge_dups, gfastats, gfa_to_fa, minimap2	Scaffolding, Sequence assembly validation, k-mer counting, Phasing, Read binning, Pairwise sequence alignment, Data handling, Genome assembly, De-novo assembly	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA HiC Hap1Hap2 Scaffolding+QC YaHS v2309 (WF4)	WorkflowHub	608	https://workflowhub.eu/workflows/608?version=1	Diego De Panis	assembly+qc, erga, hi-c	2023-10-11	2026-05-13	1	1	30.0	merqury, param_value_from_file, yahs, busco, gfastats, pretext_map, pretext_snapshot, gfa_to_fa, bwa_mem2, bellerophon	Scaffolding, Sequence assembly validation, Sequence alignment, k-mer counting, Data handling, Genome assembly, De-novo assembly, Phasing	Whole genome sequencing	MIT	10.48546/workflowhub.workflow.608.1	ERGA Assembly	True	False
Refining Genome Annotations with Apollo (prokaryotes)	WorkflowHub	749	https://workflowhub.eu/workflows/749?version=1	Anthony Bretaudeau	genome-annotation	2024-02-14	2025-11-04	1	1	5.0	jbrowse, iframe, create_or_update, list_organism, create_account	Genome visualisation		CC-BY-4.0	10.48546/workflowhub.workflow.749.1	EuroScienceGateway	True	False
GigaScience_Peptide_Annotation_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1790	https://workflowhub.eu/workflows/1790?version=1		gtn, galaxy, name:neoantigen	2025-07-07	2025-07-07	1	1	11.0	"regexColumn1, pep_pointer, converting pipes to columns
Convert characters1, query_tabular, converting colons to columns
Convert characters1, tab2fasta"			GPL-3.0-or-later		Galaxy Training Network	True	False
Workflow 'Biodiversity data exploration tuto'	WorkflowHub	1693	https://workflowhub.eu/workflows/1693?version=1		ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	6.0	ecology_homogeneity_normality, ecology_stat_presence_abs, ecology_link_between_var, ecology_presence_abs_abund, tool_anonymization, ecology_beta_diversity			CC-BY-4.0		Galaxy Training Network	True	False
Metagenomics assembly tutorial workflow	WorkflowHub	1634	https://workflowhub.eu/workflows/1634?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	8.0	collection_column_join, bowtie2, megahit_contig2fastg, bandage_info, bandage_image, metaspades, quast, megahit	Visualisation, Sequence assembly validation, Read mapping, Genome assembly, Sequence assembly visualisation		CC-BY-4.0		Galaxy Training Network	True	False
Genome Annotation with Prokka	WorkflowHub	1497	https://workflowhub.eu/workflows/1497?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	2.0	jbrowse, prokka	Genome visualisation, Coding region prediction, Genome annotation, Gene prediction		GPL-3.0-or-later		Galaxy Training Network	True	False
ONT -- Metagenomics-Kraken2-Krona	WorkflowHub	53	https://workflowhub.eu/workflows/53?version=1	Milad Miladi	ont	2020-08-05	2026-05-13	1	1	4.0	kraken2, datamash_reverse, taxonomy_krona_chart, tp_replace_in_line	Visualisation, Taxonomic classification		MIT		NanoGalaxy	True	False
Biodiversity data exploration tutorial	WorkflowHub	656	https://workflowhub.eu/workflows/656?version=1	Yvan Le Bras, Coline Royaux, Marie Jossé	biodiversity, ecology	2023-11-09	2026-05-13	1	1	6.0	ecology_homogeneity_normality, ecology_stat_presence_abs, ecology_link_between_var, ecology_presence_abs_abund, tool_anonymization, ecology_beta_diversity		Biodiversity, Ecology	CC-BY-4.0	10.48546/workflowhub.workflow.656.1	PNDB	True	False
Population and community metrics calculation from Biodiversity data	WorkflowHub	49	https://workflowhub.eu/workflows/49?version=2	Yvan Le Bras, Coline Royaux	biodiversity, community_metrics, ecology, glm, modeling, presence_absence, species abundance, statistics	2020-07-24	2026-05-13	2	1	4.0				MIT	10.48546/workflowhub.workflow.49.2	PNDB	True	False
Workflow CESAB Biodiversity data training 2025 - data access exercise bonus	https://usegalaxy.eu	39366728f462b4f1	https://usegalaxy.eu/published/workflow?id=39366728f462b4f1		cesab, frb, gbif, pndb, biodiversity, data, occurences, map, gis, spatial, training	2025-11-06	2025-11-06	12	12		lftp, tp_text_file_with_recurring_lines, interactive_tool_jupyter_notebook, collapse_dataset, Remove beginning1, cat1			MIT			True	False
Workflow CESAB Biodiversity data training 2025 - data access exercise 1	https://usegalaxy.eu	a52ea1bae6683dce	https://usegalaxy.eu/published/workflow?id=a52ea1bae6683dce		cesab, frb, gbif, pndb, biodiversity, data, download, training	2025-11-05	2025-11-06	15	15		tp_text_file_with_recurring_lines, lftp, interactive_tool_jupyter_notebook, collapse_dataset			MIT			True	False
Workflow CESAB Biodiversity data training 2025 - data access exercise 2	https://usegalaxy.eu	ca0775b90e12a784	https://usegalaxy.eu/published/workflow?id=ca0775b90e12a784		cesab, gbif, pndb, biodiversity, data, occurences, training	2025-11-05	2025-11-06	9	9		tp_text_file_with_recurring_lines, lftp, interactive_tool_jupyter_notebook, collapse_dataset			MIT			True	False
Obitools eDNA metabarcoding	https://usegalaxy.eu	afad9a17a80bb26d	https://usegalaxy.eu/published/workflow?id=afad9a17a80bb26d		ecology, biodiversity, edna	2023-11-09	2025-09-12	1	1		wc_gnu, obi_annotate, obi_stat, obi_clean, ncbi_blastn_wrapper, Filter1, fastqc, fastq_groomer, join1, obi_grep, obi_uniq, obi_ngsfilter, Cut1, unzip, seq_filter_by_id, obi_illumina_pairend, obi_tab	Sequence composition calculation, Statistical calculation, Sequence analysis, Sequencing quality control		MIT			True	False
Satellite data for biodiversity	https://usegalaxy.eu	1d2cd0af01a30a46	https://usegalaxy.eu/published/workflow?id=1d2cd0af01a30a46	Marie Josse	ecology, earth-system, satellite	2023-03-01	2024-05-27	5	5		srs_diversity_maps, srs_preprocess_s2, srs_spectral_indices, srs_global_indices			MIT			True	False
Obis biodiversity indicator on Asian pacific	https://usegalaxy.eu	9e05bd65faf58ab3	https://usegalaxy.eu/published/workflow?id=9e05bd65faf58ab3			2023-03-13	2023-11-10	2	2		tp_cut_tool, csv_to_tabular, obisindicators, Filter1						True	False
Remote sensing Sentinel 2 data analysis to produce biodiversity metrics	https://usegalaxy.eu	da88448ab15d167d	https://usegalaxy.eu/published/workflow?id=da88448ab15d167d			2023-11-09	2023-11-09	1	1		srs_diversity_maps, srs_preprocess_s2, srs_spectral_indices, srs_global_indices						True	False
Compute and analyze biodiversity metrics with PAMPA toolsuite	https://usegalaxy.eu	d33ab07e4cf44f8c	https://usegalaxy.eu/published/workflow?id=d33ab07e4cf44f8c		ecology	2021-02-24	2021-02-24	0	0		regexColumn1, mergeCols1, pampa_plotglm, pampa_glmcomm, Filter1, tp_cut_tool, pampa_glmsp, tp_sort_header_tool, datamash_transpose, tp_cat, regex1, pampa_presabs, pampa_communitymetrics, Count1						True	False
16S_biodiversity_BIOM	https://usegalaxy.org.au	ca6f29110df8dadc	https://usegalaxy.org.au/published/workflow?id=ca6f29110df8dadc		metadegalaxy	2019-03-21	2021-04-01	9	9		biom_add_metadata, phyloseq_net, phyloseq_DESeq2, symmetricPlot, phyloseq_richness, biom_convert, phyloseq_taxonomy, phyloseq_abundance	Formatting					True	False
16S_biodiversity_for_nonoverlap_paired_end	https://usegalaxy.org.au	869440d35a618836	https://usegalaxy.org.au/published/workflow?id=869440d35a618836		metadegalaxy	2019-03-21	2021-04-01	18	18		fastqc, vsearch_chimera_detection, biom_convert, cat1, trimmomatic, vsearch_search, biom_add_metadata, uclust2otutable, addValue, phyloseq_DESeq2, bwa_mem, vsearch_clustering, samtools_fastx, phyloseq_net, Cut1, phyloseq_abundance, vsearch_dereplication, picard_FilterSamReads, cat_multi_datasets, symmetricPlot, phyloseq_richness, phyloseq_taxonomy	Sequence composition calculation, Formatting, Statistical calculation, Sequence alignment, Genome indexing, Read mapping, Chimera detection, DNA mapping, Generation, Sequencing quality control					True	False
16S_biodiversity_for_overlap_paired_end	https://usegalaxy.org.au	14e80b7f9f68ec2a	https://usegalaxy.org.au/published/workflow?id=14e80b7f9f68ec2a		metadegalaxy	2019-03-21	2021-04-01	16	16		fastqc, vsearch_chimera_detection, biom_convert, cat1, trimmomatic, vsearch_search, biom_add_metadata, uclust2otutable, addValue, phyloseq_DESeq2, bwa_mem, vsearch_clustering, samtools_fastx, phyloseq_net, Cut1, picard_MergeSamFiles, phyloseq_abundance, vsearch_dereplication, picard_FilterSamReads, iuc_pear, symmetricPlot, phyloseq_richness, phyloseq_taxonomy	Sequence composition calculation, Formatting, Statistical calculation, Sequence alignment, Genome indexing, Read mapping, Chimera detection, DNA mapping, Sequence merging, Generation, Sequencing quality control					True	False
